"Nazwa kampanii","Status wyświetlania","Poziom wyświetlania","Typ wyniku",Wyniki,"Koszt wyniku","Wydana kwota (PLN)",Wyświetlenia,Zasięg,"Ustawienie atrybucji","Ranking jakości","Ranking wskaźnika aktywności","Ranking współczynnika konwersji","Nazwa zestawu reklam","Koszt 1000 wyświetleń (CPM)","Zwrot z wydatków na reklamę (ROAS)",Częstotliwość,Zakupy,"Początek okresu raportowania","Koniec okresu raportowania"
"Nagrania konferencji własnych [odtworzenie nagrania na Remedium]",active,campaign,,,,14939.84,1071636,34907,"Kliknięcia z 7 dni",-,-,-,,13.94115166,,30.69974504,,2026-01-01,2026-03-18
"[KL] Treści klienckie [wyświetlenie strony docelowej]",active,campaign,"Wyświetlenia strony docelowej",12779,0.94062211,12020.21,1586815,83795,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia",-,-,-,,7.57505443,,18.93686974,,2026-01-01,2026-03-18
"[KL] Wideo/podcasty klienckie [odtworzenie nagrania na Remedium]",active,campaign,Video_Play,2648,2.8878361,7646.99,603987,38032,"Kliknięcia z 7 dni",-,-,-,,12.66085197,,15.88102125,,2026-01-01,2026-03-18
"[KL] Konferencje klienckie [zapis na wydarzenie]",active,campaign,"Spotkania zaplanowane w witrynie",1276,2.7917163,3562.23,242627,26589,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia",-,-,-,,14.68191916,,9.12508932,,2026-01-01,2026-03-18
"[KL] Nagrania webinarów klienckich  [odtworzenie nagrania na Remedium]",completed,campaign,Video_Play,1283,2.10429462,2699.81,187743,27834,"Kliknięcia z 7 dni",-,-,-,,14.38034973,,6.74509593,,2026-01-01,2026-03-18
"[KL] Kursy sponsorowane [odblokowanie dostępu do kursu]",not_delivering,campaign,,,,2021.28,141755,22127,"Kliknięcia z 7 dni, wyświetlenia z 1 dnia lub wyświetlenia z 1 dnia przez zaangażowanych odbiorców",-,-,-,,14.25896794,,6.40642654,,2026-01-01,2026-03-18
"[KL] Kursy sponsorowane [odtworzenie nagrania]",active,campaign,,,,1311.54,76426,12898,"Wiele ustawień atrybucji",-,-,-,,17.16091383,,5.92541479,,2026-01-01,2026-03-18
"Remedium - Reklamy - Konwersje (rejestracje) - budżet wewnętrzny",active,campaign,"Ukończone rejestracje w witrynie",90,12.54722222,1129.25,77544,26625,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia",-,-,-,,14.56269989,,2.9124507,,2026-01-01,2026-03-18
"[KL] Klub Medyka [wyświetlenie strony docelowej]",completed,campaign,"Wyświetlenia strony docelowej",193,5.17963731,999.67,100006,16031,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia",-,-,-,,9.99610023,,6.23828832,,2026-01-01,2026-03-18
"[KL] Konferencje klienckie [dołączenie do wydarzenia na Facebooku]",active,campaign,"Reakcje na zaproszenia na wydarzenia",404,2.22522277,898.99,110979,17482,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia",-,-,-,,8.10054154,,6.34818671,,2026-01-01,2026-03-18
"Aktywacja użytkowników | Najlepsze posty tygodnia [3 LPV]",completed,campaign,,,,896.7,158660,31157,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia",-,-,-,,5.65170805,,5.09227461,,2026-01-01,2026-03-18
"[KL] Webinary klienckie [zapis na wydarzenie]",active,campaign,"Spotkania zaplanowane w witrynie",209,3.20430622,669.7,51630,14111,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia",-,-,-,,12.97114081,,3.65884771,,2026-01-01,2026-03-18
"Narzędzia/funkcje Remedium [aktywność w narzędziu]",completed,campaign,Rozpoczecie_testu,33,12.11878788,399.92,42347,4259,"Kliknięcia z 7 dni",-,-,-,,9.44388032,,9.94294435,,2026-01-01,2026-03-18
"[KL] Webinary klienckie [dołączenie do wydarzenia Facebook]",active,campaign,"Reakcje na zaproszenia na wydarzenia",152,1.11289474,169.16,23677,6742,"Kliknięcia z 7 dni lub wyświetlenia z 1 dnia",-,-,-,,7.14448621,,3.51186592,,2026-01-01,2026-03-18
